CustomerID,AccountAgeMonths,LastPurchaseDays,TotalOrders,TotalSpend,AvgOrderValue,AppLogins30d,WishlistItems,CartAbandonments,DiscountUsage,GeneratedAt,Recency,Frequency,Monetary,EngagementScore,Segment,ChurnRisk,CLV,RecommendedAction,ProcessedAt
C00008,54,13,37,85411,2308,12,21,4,Low,2026-04-07 11:10:01,13,37,85411,11.4,2,Low,3160207,Loyalty Program,2026-04-09 12:57:04
C00009,55,8,17,27403,1611,23,10,0,Medium,2026-04-07 11:10:01,8,17,27403,15.200000000000001,0,Low,465851,VIP Treatment,2026-04-09 12:57:04
C00010,10,183,14,12477,891,1,29,8,High,2026-04-07 11:10:01,183,14,12477,7.000000000000001,1,Medium,174678,VIP Treatment,2026-04-09 12:57:04
C00001,47,8,33,92084,2790,19,7,3,Medium,2026-04-07 11:11:01,8,33,92084,11.8,2,Low,3038772,Loyalty Program,2026-04-09 12:57:04
C00002,1,6,9,24248,2694,24,12,0,Medium,2026-04-07 11:11:01,6,9,24248,16.0,0,Low,218232,VIP Treatment,2026-04-09 12:57:04
C00003,57,21,35,121746,3478,8,8,1,High,2026-04-07 11:11:01,21,35,121746,8.4,2,Low,4261110,Loyalty Program,2026-04-09 12:57:04
C00004,53,17,30,44879,1495,7,7,2,Medium,2026-04-07 11:11:01,17,30,44879,7.4,0,Low,1346370,VIP Treatment,2026-04-09 12:57:04
C00005,37,40,37,57679,1558,3,15,1,High,2026-04-07 11:11:01,40,37,57679,7.800000000000001,0,Medium,2134123,VIP Treatment,2026-04-09 12:57:04
C00006,28,189,13,21539,1656,2,4,5,Medium,2026-04-07 11:11:01,189,13,21539,3.6,1,Medium,280007,VIP Treatment,2026-04-09 12:57:04
C00007,3,231,3,8185,2728,1,4,6,Low,2026-04-07 11:11:01,231,3,8185,2.8000000000000003,1,High,24555,Retention Campaign,2026-04-09 12:57:04
C00008,19,37,7,14405,2057,7,13,1,Medium,2026-04-07 11:11:01,37,7,14405,9.0,0,Medium,100835,VIP Treatment,2026-04-09 12:57:04
C00009,22,138,67,185939,2775,1,23,9,Low,2026-04-07 11:11:01,138,67,185939,5.400000000000001,2,Medium,12457913,Loyalty Program,2026-04-09 12:57:04
C00010,36,5,24,52236,2176,17,17,2,Medium,2026-04-07 11:11:01,5,24,52236,13.400000000000002,0,Low,1253664,VIP Treatment,2026-04-09 12:57:04
C00001,36,39,48,148249,3088,5,14,3,Low,2026-04-07 11:12:01,39,48,148249,7.600000000000001,2,Medium,7115952,Loyalty Program,2026-04-09 12:57:04
C00002,52,243,23,64704,2813,1,0,3,High,2026-04-07 11:12:01,243,23,64704,3.2,1,Medium,1488192,VIP Treatment,2026-04-09 12:57:04
C00003,50,2,8,7412,926,10,27,2,Low,2026-04-07 11:12:01,2,8,7412,12.600000000000001,0,Low,59296,VIP Treatment,2026-04-09 12:57:04
C00004,54,51,96,286865,2988,3,20,0,Low,2026-04-07 11:12:01,51,96,286865,9.2,2,Medium,27539040,Loyalty Program,2026-04-09 12:57:04
C00005,43,135,12,29048,2420,0,16,6,Low,2026-04-07 11:12:01,135,12,29048,4.800000000000001,1,Medium,348576,VIP Treatment,2026-04-09 12:57:04
C00006,21,6,11,18075,1643,20,17,2,Low,2026-04-07 11:12:01,6,11,18075,14.600000000000001,0,Low,198825,VIP Treatment,2026-04-09 12:57:04
C00007,14,54,7,18980,2711,11,6,4,Low,2026-04-07 11:12:01,54,7,18980,8.0,0,Medium,132860,VIP Treatment,2026-04-09 12:57:04
C00008,38,8,53,163182,3078,13,22,4,Medium,2026-04-07 11:12:01,8,53,163182,12.000000000000002,2,Low,8648646,Loyalty Program,2026-04-09 12:57:04
C00009,33,12,30,61530,2051,24,4,4,Medium,2026-04-07 11:12:01,12,30,61530,12.800000000000002,0,Low,1845900,VIP Treatment,2026-04-09 12:57:04
C00010,6,190,5,12352,2470,3,2,9,Low,2026-04-07 11:12:01,190,5,12352,2.0,1,Medium,61760,VIP Treatment,2026-04-09 12:57:04
C00001,2,4,8,8145,1018,21,6,4,High,2026-04-07 11:13:02,4,8,8145,12.000000000000002,0,Low,65160,VIP Treatment,2026-04-09 12:57:04
C00002,57,5,30,95410,3180,11,12,3,Low,2026-04-07 11:13:02,5,30,95410,9.600000000000001,2,Low,2862300,Loyalty Program,2026-04-09 12:57:04
C00003,23,9,18,56355,3130,20,17,3,Low,2026-04-07 11:13:02,9,18,56355,14.200000000000001,0,Low,1014390,VIP Treatment,2026-04-09 12:57:04
C00004,59,45,29,75635,2608,8,29,1,Low,2026-04-07 11:13:02,45,29,75635,12.6,0,Medium,2193415,VIP Treatment,2026-04-09 12:57:04
C00005,22,122,13,37857,2912,0,26,8,Medium,2026-04-07 11:13:02,122,13,37857,6.0,1,Medium,492141,VIP Treatment,2026-04-09 12:57:04
C00006,55,4,25,64146,2565,19,8,2,Low,2026-04-07 11:13:02,4,25,64146,12.400000000000002,0,Low,1603650,VIP Treatment,2026-04-09 12:57:04
C00007,51,21,25,47459,1898,8,28,3,Low,2026-04-07 11:13:02,21,25,47459,11.600000000000001,0,Low,1186475,VIP Treatment,2026-04-09 12:57:04
C00008,39,14,23,24135,1049,24,26,4,Low,2026-04-07 11:13:02,14,23,24135,17.200000000000003,0,Low,555105,VIP Treatment,2026-04-09 12:57:04
C00009,35,136,36,102202,2838,1,7,6,Medium,2026-04-07 11:13:02,136,36,102202,3.4000000000000004,1,Medium,3679272,VIP Treatment,2026-04-09 12:57:04
C00010,48,2,28,34821,1243,11,6,4,Low,2026-04-07 11:13:02,2,28,34821,8.0,0,Low,974988,VIP Treatment,2026-04-09 12:57:04
C00001,17,58,26,34527,1327,7,1,0,Low,2026-04-07 11:14:01,58,26,34527,7.0,0,Medium,897702,VIP Treatment,2026-04-09 12:57:04
C00002,34,7,49,79001,1612,23,17,4,Medium,2026-04-07 11:14:01,7,49,79001,15.000000000000002,2,Low,3871049,Loyalty Program,2026-04-09 12:57:04
C00003,12,9,38,96482,2539,21,8,4,High,2026-04-07 11:14:01,9,38,96482,12.4,2,Low,3666316,Loyalty Program,2026-04-09 12:57:04
C00004,49,1,40,123494,3087,16,2,0,Low,2026-04-07 11:14:01,1,40,123494,10.8,2,Low,4939760,Loyalty Program,2026-04-09 12:57:04
C00005,10,9,10,26059,2605,13,19,1,High,2026-04-07 11:14:01,9,10,26059,12.6,0,Low,260590,VIP Treatment,2026-04-09 12:57:04
C00006,11,50,16,13844,865,11,18,4,Low,2026-04-07 11:14:01,50,16,13844,10.4,0,Medium,221504,VIP Treatment,2026-04-09 12:57:04
C00007,45,1,34,62286,1831,11,23,1,Medium,2026-04-07 11:14:01,1,34,62286,12.6,0,Low,2117724,VIP Treatment,2026-04-09 12:57:04
C00008,47,17,18,31598,1755,11,27,2,Medium,2026-04-07 11:14:01,17,18,31598,13.0,0,Low,568764,VIP Treatment,2026-04-09 12:57:04
C00009,42,5,29,26406,910,11,0,2,High,2026-04-07 11:14:01,5,29,26406,7.6000000000000005,0,Low,765774,VIP Treatment,2026-04-09 12:57:04
C00010,34,22,12,36585,3048,10,25,3,Medium,2026-04-07 11:14:01,22,12,36585,11.8,0,Low,439020,VIP Treatment,2026-04-09 12:57:04
C00001,29,2,11,35887,3262,17,6,4,High,2026-04-07 11:15:01,2,11,35887,10.4,0,Low,394757,VIP Treatment,2026-04-09 12:57:04
C00002,22,11,8,27581,3447,16,6,4,High,2026-04-07 11:15:01,11,8,27581,10.0,0,Low,220648,VIP Treatment,2026-04-09 12:57:04
C00003,39,12,13,35327,2717,23,19,2,Low,2026-04-07 11:15:01,12,13,35327,16.200000000000003,0,Low,459251,VIP Treatment,2026-04-09 12:57:04
C00004,41,186,48,96910,2018,1,11,3,High,2026-04-07 11:15:01,186,48,96910,5.4,1,Medium,4651680,VIP Treatment,2026-04-09 12:57:04
C00005,10,8,20,55451,2772,18,10,3,High,2026-04-07 11:15:01,8,20,55451,12.0,0,Low,1109020,VIP Treatment,2026-04-09 12:57:04
C00006,35,7,27,42564,1576,20,15,2,High,2026-04-07 11:15:01,7,27,42564,14.2,0,Low,1149228,VIP Treatment,2026-04-09 12:57:04
C00007,1,12,7,9474,1353,16,11,0,Medium,2026-04-07 11:15:01,12,7,9474,12.600000000000001,0,Low,66318,VIP Treatment,2026-04-09 12:57:04
C00008,45,20,81,141278,1744,10,21,1,Low,2026-04-07 11:15:01,20,81,141278,11.799999999999999,2,Low,11443518,Loyalty Program,2026-04-09 12:57:04
C00009,23,122,18,37861,2103,0,28,8,Medium,2026-04-07 11:15:01,122,18,37861,6.4,1,Medium,681498,VIP Treatment,2026-04-09 12:57:04
C00010,27,8,5,5181,1036,13,26,1,High,2026-04-07 11:15:01,8,5,5181,14.0,0,Low,25905,Regular Engagement,2026-04-09 12:57:04
C00001,8,4,14,28130,2009,22,21,4,High,2026-04-07 11:16:01,4,14,28130,15.4,0,Low,393820,VIP Treatment,2026-04-09 12:57:04
C00002,31,13,15,41874,2791,24,29,2,Low,2026-04-07 11:16:01,13,15,41874,18.6,0,Low,628110,VIP Treatment,2026-04-09 12:57:04
C00003,14,8,17,39637,2331,13,11,4,Medium,2026-04-07 11:16:01,8,17,39637,9.8,0,Low,673829,VIP Treatment,2026-04-09 12:57:04
C00004,50,17,27,68557,2539,3,17,1,Low,2026-04-07 11:16:01,17,27,68557,8.200000000000001,0,Low,1851039,VIP Treatment,2026-04-09 12:57:04
C00005,15,11,18,31492,1749,18,20,2,Low,2026-04-07 11:16:01,11,18,31492,14.399999999999999,0,Low,566856,VIP Treatment,2026-04-09 12:57:04
C00006,20,44,15,11654,776,7,0,3,Medium,2026-04-07 11:16:01,44,15,11654,5.6000000000000005,0,Medium,174810,VIP Treatment,2026-04-09 12:57:04
C00007,49,4,82,242792,2960,13,17,1,Medium,2026-04-07 11:16:01,4,82,242792,12.200000000000001,2,Low,19908944,Loyalty Program,2026-04-09 12:57:04
C00008,26,39,30,54212,1807,8,13,4,Low,2026-04-07 11:16:01,39,30,54212,8.200000000000001,0,Medium,1626360,VIP Treatment,2026-04-09 12:57:04
C00009,22,30,21,62907,2995,4,15,3,Low,2026-04-07 11:16:01,30,21,62907,7.4,0,Low,1321047,VIP Treatment,2026-04-09 12:57:04
C00010,25,41,17,43105,2535,3,28,3,Medium,2026-04-07 11:16:01,41,17,43105,9.600000000000001,0,Medium,732785,VIP Treatment,2026-04-09 12:57:04
C00001,31,120,15,39903,2660,2,25,9,Low,2026-04-07 11:17:01,120,15,39903,6.2,1,Medium,598545,VIP Treatment,2026-04-09 12:57:04
C00002,4,54,9,14498,1610,7,11,0,Low,2026-04-07 11:17:01,54,9,14498,9.0,0,Medium,130482,VIP Treatment,2026-04-09 12:57:04
C00003,26,171,16,27308,1706,3,16,7,Low,2026-04-07 11:17:01,171,16,27308,5.6000000000000005,1,Medium,436928,VIP Treatment,2026-04-09 12:57:04
C00004,23,51,24,22608,942,7,15,3,Medium,2026-04-07 11:17:01,51,24,22608,8.600000000000001,0,Medium,542592,VIP Treatment,2026-04-09 12:57:04
C00005,53,149,47,123751,2633,4,18,6,Low,2026-04-07 11:17:01,149,47,123751,6.800000000000001,2,Medium,5816297,Loyalty Program,2026-04-09 12:57:04
C00006,40,58,15,22739,1515,3,3,3,Medium,2026-04-07 11:17:01,58,15,22739,4.6000000000000005,0,Medium,341085,VIP Treatment,2026-04-09 12:57:04
C00007,10,7,9,24673,2741,23,12,4,Low,2026-04-07 11:17:01,7,9,24673,14.000000000000002,0,Low,222057,VIP Treatment,2026-04-09 12:57:04
C00008,48,27,33,39976,1211,10,17,4,High,2026-04-07 11:17:01,27,33,39976,9.8,0,Low,1319208,VIP Treatment,2026-04-09 12:57:04
C00009,21,11,21,45031,2144,14,4,1,Low,2026-04-07 11:17:01,11,21,45031,10.0,0,Low,945651,VIP Treatment,2026-04-09 12:57:04
C00010,1,22,3,8144,2714,7,19,2,Low,2026-04-07 11:17:01,22,3,8144,9.8,0,Low,24432,Regular Engagement,2026-04-09 12:57:04
C00001,59,12,49,86713,1769,19,10,1,High,2026-04-07 11:18:01,12,49,86713,13.200000000000001,2,Low,4248937,Loyalty Program,2026-04-09 12:57:04
C00002,38,58,27,47714,1767,7,9,2,Medium,2026-04-07 11:18:01,58,27,47714,7.800000000000001,0,Medium,1288278,VIP Treatment,2026-04-09 12:57:04
C00003,39,11,35,106968,3056,15,6,4,Medium,2026-04-07 11:18:01,11,35,106968,9.600000000000001,2,Low,3743880,Loyalty Program,2026-04-09 12:57:04
C00004,51,10,15,29420,1961,21,25,1,Low,2026-04-07 11:18:01,10,15,29420,17.0,0,Low,441300,VIP Treatment,2026-04-09 12:57:04
C00005,50,14,8,24115,3014,10,0,0,Medium,2026-04-07 11:18:01,14,8,24115,8.0,0,Low,192920,VIP Treatment,2026-04-09 12:57:04
C00006,36,14,38,61383,1615,23,7,0,High,2026-04-07 11:18:01,14,38,61383,14.600000000000001,0,Low,2332554,VIP Treatment,2026-04-09 12:57:04
C00007,54,125,49,149514,3051,1,17,4,Low,2026-04-07 11:18:01,125,49,149514,6.200000000000001,2,Medium,7326186,Loyalty Program,2026-04-09 12:57:04
C00008,9,5,8,28486,3560,18,0,4,High,2026-04-07 11:18:01,5,8,28486,9.600000000000001,0,Low,227888,VIP Treatment,2026-04-09 12:57:04
C00009,12,20,8,16706,2088,6,10,3,Medium,2026-04-07 11:18:01,20,8,16706,7.200000000000001,0,Low,133648,VIP Treatment,2026-04-09 12:57:04
C00010,28,114,31,33896,1093,1,18,6,Medium,2026-04-07 11:18:01,114,31,33896,5.6,1,Medium,1050776,VIP Treatment,2026-04-09 12:57:04
C00001,22,5,8,26877,3359,13,19,2,High,2026-04-07 11:19:00,5,8,26877,12.2,0,Low,215016,VIP Treatment,2026-04-09 12:57:04
C00002,55,7,14,16162,1154,21,18,3,Medium,2026-04-07 11:19:00,7,14,16162,14.8,0,Low,226268,VIP Treatment,2026-04-09 12:57:04
C00003,52,3,55,121350,2206,14,29,1,Medium,2026-04-07 11:19:00,3,55,121350,15.000000000000002,2,Low,6674250,Loyalty Program,2026-04-09 12:57:04
C00004,47,5,52,171684,3301,13,6,0,High,2026-04-07 11:19:00,5,52,171684,10.4,2,Low,8927568,Loyalty Program,2026-04-09 12:57:04
C00005,11,16,13,16910,1300,5,27,0,Low,2026-04-07 11:19:00,16,13,16910,11.4,0,Low,219830,VIP Treatment,2026-04-09 12:57:04
C00006,7,14,3,8549,2849,21,15,4,Low,2026-04-07 11:19:00,14,3,8549,13.8,0,Low,25647,Regular Engagement,2026-04-09 12:57:04
C00007,45,1,49,172576,3521,12,29,0,Medium,2026-04-07 11:19:00,1,49,172576,14.600000000000001,2,Low,8456224,Loyalty Program,2026-04-09 12:57:04
C00008,37,9,36,94683,2630,15,14,3,Medium,2026-04-07 11:19:00,9,36,94683,11.600000000000001,2,Low,3408588,Loyalty Program,2026-04-09 12:57:04
C00009,31,39,7,24104,3443,11,12,0,High,2026-04-07 11:19:00,39,7,24104,10.8,0,Medium,168728,VIP Treatment,2026-04-09 12:57:04
C00010,57,8,61,137565,2255,18,11,3,Low,2026-04-07 11:19:00,8,61,137565,12.200000000000001,2,Low,8391465,Loyalty Program,2026-04-09 12:57:04
C00001,50,11,91,286081,3143,21,14,1,Medium,2026-04-07 11:28:01,11,91,286081,14.8,2,Low,26033371,Loyalty Program,2026-04-09 12:57:04
C00002,8,8,6,15131,2521,20,21,1,Medium,2026-04-07 11:28:01,8,6,15131,15.799999999999999,0,Low,90786,VIP Treatment,2026-04-09 12:57:04
C00003,47,207,72,78904,1095,3,0,6,High,2026-04-07 11:28:01,207,72,78904,2.8000000000000003,1,Medium,5681088,VIP Treatment,2026-04-09 12:57:04
C00004,54,1,25,24448,977,20,10,0,Low,2026-04-07 11:28:01,1,25,24448,14.0,0,Low,611200,VIP Treatment,2026-04-09 12:57:04
C00005,25,11,15,47830,3188,20,14,4,Medium,2026-04-07 11:28:01,11,15,47830,13.200000000000001,0,Low,717450,VIP Treatment,2026-04-09 12:57:04
C00006,12,5,11,31530,2866,18,4,4,Low,2026-04-07 11:28:01,5,11,31530,10.4,0,Low,346830,VIP Treatment,2026-04-09 12:57:04
C00007,15,169,5,14525,2905,4,15,8,Low,2026-04-07 11:28:01,169,5,14525,5.3999999999999995,1,Medium,72625,VIP Treatment,2026-04-09 12:57:04
C00008,24,19,15,31174,2078,11,5,0,Low,2026-04-07 11:28:01,19,15,31174,9.4,0,Low,467610,VIP Treatment,2026-04-09 12:57:04
C00009,56,16,16,28724,1795,5,29,1,Medium,2026-04-07 11:28:01,16,16,28724,11.4,0,Low,459584,VIP Treatment,2026-04-09 12:57:04
C00010,25,2,10,30212,3021,11,0,4,Low,2026-04-07 11:28:01,2,10,30212,6.800000000000001,0,Low,302120,VIP Treatment,2026-04-09 12:57:04
C00001,11,9,11,10235,930,22,4,0,High,2026-04-07 11:29:01,9,11,10235,13.600000000000001,0,Low,112585,VIP Treatment,2026-04-09 12:57:04
C00002,29,3,15,24900,1660,19,22,0,Low,2026-04-07 11:29:01,3,15,24900,16.0,0,Low,373500,VIP Treatment,2026-04-09 12:57:04
C00003,4,51,10,18308,1830,11,29,1,Low,2026-04-07 11:29:01,51,10,18308,13.8,0,Medium,183080,VIP Treatment,2026-04-09 12:57:04
C00004,29,23,29,90068,3105,4,23,1,Medium,2026-04-07 11:29:01,23,29,90068,9.8,0,Low,2611972,VIP Treatment,2026-04-09 12:57:04
C00005,39,48,34,95338,2804,7,20,3,Low,2026-04-07 11:29:01,48,34,95338,9.600000000000001,2,Medium,3241492,Loyalty Program,2026-04-09 12:57:04
C00006,49,108,25,66892,2675,2,17,4,High,2026-04-07 11:29:01,108,25,66892,6.6000000000000005,1,Medium,1672300,VIP Treatment,2026-04-09 12:57:04
C00007,55,153,25,32744,1309,4,1,9,Medium,2026-04-07 11:29:01,153,25,32744,2.2,1,Medium,818600,VIP Treatment,2026-04-09 12:57:04
C00008,22,19,30,56749,1891,7,12,4,High,2026-04-07 11:29:01,19,30,56749,7.600000000000001,0,Low,1702470,VIP Treatment,2026-04-09 12:57:04
C00009,6,52,8,23772,2971,7,2,3,Low,2026-04-07 11:29:01,52,8,23772,6.0,0,Medium,190176,VIP Treatment,2026-04-09 12:57:04
C00010,6,14,15,31988,2132,17,1,1,Low,2026-04-07 11:29:01,14,15,31988,10.600000000000001,0,Low,479820,VIP Treatment,2026-04-09 12:57:04
C00001,46,167,36,77426,2150,1,14,5,Low,2026-04-07 11:30:01,167,36,77426,5.2,1,Medium,2787336,VIP Treatment,2026-04-09 12:57:04
C00002,55,14,26,73821,2839,23,17,3,Medium,2026-04-07 11:30:01,14,26,73821,15.400000000000002,0,Low,1919346,VIP Treatment,2026-04-09 12:57:04
C00003,33,6,41,68960,1681,12,10,4,High,2026-04-07 11:30:01,6,41,68960,9.200000000000001,2,Low,2827360,Loyalty Program,2026-04-09 12:57:04
C00004,5,14,9,21755,2417,11,14,4,Low,2026-04-07 11:30:01,14,9,21755,9.600000000000001,0,Low,195795,VIP Treatment,2026-04-09 12:57:04
C00005,24,118,41,138322,3373,4,22,7,Low,2026-04-07 11:30:01,118,41,138322,7.2,2,Medium,5671202,Loyalty Program,2026-04-09 12:57:04
C00006,40,30,15,44966,2997,10,29,3,Medium,2026-04-07 11:30:01,30,15,44966,12.600000000000001,0,Low,674490,VIP Treatment,2026-04-09 12:57:04
C00007,9,50,6,9492,1582,4,23,0,Medium,2026-04-07 11:30:01,50,6,9492,10.200000000000001,0,Medium,56952,VIP Treatment,2026-04-09 12:57:04
C00008,35,39,9,12151,1350,10,26,3,Medium,2026-04-07 11:30:01,39,9,12151,12.0,0,Medium,109359,VIP Treatment,2026-04-09 12:57:04
C00009,3,18,2,6567,3283,8,14,1,High,2026-04-07 11:30:01,18,2,6567,9.6,0,Low,13134,Regular Engagement,2026-04-09 12:57:04
C00010,15,5,11,32154,2923,17,17,4,Low,2026-04-07 11:30:01,5,11,32154,12.600000000000001,0,Low,353694,VIP Treatment,2026-04-09 12:57:04
C00001,14,1,19,58076,3056,18,29,0,Low,2026-04-07 11:31:01,1,19,58076,17.0,0,Low,1103444,VIP Treatment,2026-04-09 12:57:04
C00002,12,6,5,8122,1624,24,6,0,Low,2026-04-07 11:31:01,6,5,8122,14.8,0,Low,40610,Regular Engagement,2026-04-09 12:57:04
C00003,26,28,35,81139,2318,5,1,2,High,2026-04-07 11:31:01,28,35,81139,5.4,2,Low,2839865,Loyalty Program,2026-04-09 12:57:04
C00004,46,11,74,187134,2528,21,4,3,Medium,2026-04-07 11:31:01,11,74,187134,12.000000000000002,2,Low,13847916,Loyalty Program,2026-04-09 12:57:04
C00005,51,10,25,33405,1336,24,10,0,Medium,2026-04-07 11:31:01,10,25,33405,15.600000000000001,0,Low,835125,VIP Treatment,2026-04-09 12:57:04
C00006,51,52,26,33583,1291,10,22,3,High,2026-04-07 11:31:01,52,26,33583,11.200000000000001,0,Medium,873158,VIP Treatment,2026-04-09 12:57:04
C00007,27,2,34,110787,3258,22,10,2,Low,2026-04-07 11:31:01,2,34,110787,14.0,2,Low,3766758,Loyalty Program,2026-04-09 12:57:04
C00008,7,9,7,10671,1524,24,8,2,Medium,2026-04-07 11:31:01,9,7,10671,14.400000000000002,0,Low,74697,VIP Treatment,2026-04-09 12:57:04
C00009,41,14,10,12445,1244,16,4,2,High,2026-04-07 11:31:01,14,10,12445,10.4,0,Low,124450,VIP Treatment,2026-04-09 12:57:04
C00010,39,7,31,49557,1598,20,4,1,Low,2026-04-07 11:31:01,7,31,49557,12.4,0,Low,1536267,VIP Treatment,2026-04-09 12:57:04
C00001,53,7,61,101409,1662,14,3,4,Low,2026-04-07 11:32:01,7,61,101409,8.600000000000001,2,Low,6185949,Loyalty Program,2026-04-09 12:57:04
C00002,51,38,25,60083,2403,3,27,0,Low,2026-04-07 11:32:01,38,25,60083,10.600000000000001,0,Medium,1502075,VIP Treatment,2026-04-09 12:57:04
C00003,41,6,16,42419,2651,12,28,1,Low,2026-04-07 11:32:01,6,16,42419,14.000000000000002,0,Low,678704,VIP Treatment,2026-04-09 12:57:04
C00004,10,50,10,34956,3495,6,14,0,Low,2026-04-07 11:32:01,50,10,34956,9.200000000000001,0,Medium,349560,VIP Treatment,2026-04-09 12:57:04
C00005,26,74,48,149063,3105,0,4,7,Low,2026-04-07 11:32:01,74,48,149063,2.0,2,Medium,7155024,Loyalty Program,2026-04-09 12:57:04
C00006,55,37,35,96477,2756,4,10,2,Medium,2026-04-07 11:32:01,37,35,96477,6.800000000000001,2,Medium,3376695,Loyalty Program,2026-04-09 12:57:04
C00007,9,9,15,50715,3381,17,13,2,Low,2026-04-07 11:32:01,9,15,50715,12.600000000000001,0,Low,760725,VIP Treatment,2026-04-09 12:57:04
C00008,32,9,17,20997,1235,16,25,1,Medium,2026-04-07 11:32:01,9,17,20997,15.0,0,Low,356949,VIP Treatment,2026-04-09 12:57:04
C00009,41,12,19,21637,1138,11,29,3,High,2026-04-07 11:32:01,12,19,21637,13.000000000000002,0,Low,411103,VIP Treatment,2026-04-09 12:57:04
C00010,26,23,24,26891,1120,11,19,4,Low,2026-04-07 11:32:01,23,24,26891,10.600000000000001,0,Low,645384,VIP Treatment,2026-04-09 12:57:04
C00011,8,37,7,13693,1956,9,20,3,Medium,2026-04-07 11:36:01,37,7,13693,10.4,0,Medium,95851,VIP Treatment,2026-04-09 12:57:04
C00012,39,13,21,45999,2190,23,15,4,Low,2026-04-07 11:36:01,13,21,45999,14.600000000000001,0,Low,965979,VIP Treatment,2026-04-09 12:57:04
C00013,17,4,23,50364,2189,21,19,4,Low,2026-04-07 11:36:01,4,23,50364,14.600000000000001,0,Low,1158372,VIP Treatment,2026-04-09 12:57:04
C00014,5,4,8,7605,950,17,28,0,Low,2026-04-07 11:36:01,4,8,7605,16.400000000000002,0,Low,60840,VIP Treatment,2026-04-09 12:57:04
C00015,56,5,50,110764,2215,18,22,0,Medium,2026-04-07 11:36:01,5,50,110764,15.600000000000001,2,Low,5538200,Loyalty Program,2026-04-09 12:57:04
C00016,26,27,19,30779,1619,6,12,3,Low,2026-04-07 11:36:01,27,19,30779,7.600000000000001,0,Low,584801,VIP Treatment,2026-04-09 12:57:04
C00017,7,6,11,31349,2849,21,18,0,Medium,2026-04-07 11:36:01,6,11,31349,16.0,0,Low,344839,VIP Treatment,2026-04-09 12:57:04
C00018,15,178,9,7631,847,3,25,3,High,2026-04-07 11:36:01,178,9,7631,9.0,1,Medium,68679,VIP Treatment,2026-04-09 12:57:04
C00019,30,8,14,10500,750,16,28,2,Low,2026-04-07 11:36:01,8,14,10500,15.2,0,Low,147000,VIP Treatment,2026-04-09 12:57:04
